2026-08-28 14:35:40 | INFO     | main | Bot Web Scanner de Supermercados — iniciando execução
2026-08-28 14:36:00 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_62-261x300.webp
2026-08-28 14:36:00 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_63-261x300.webp
2026-08-28 14:36:00 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_64-261x300.webp
2026-08-28 14:36:00 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_7-261x300.webp
2026-08-28 14:36:00 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_8-261x300.webp
2026-08-28 14:36:00 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_9-261x300.webp
2026-08-28 14:36:00 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Header-fecha-mes-agosto-2-1024x640.webp
2026-08-28 14:36:00 | INFO     | scraper.image_capture | Total de imagens baixadas com sucesso: 80
2026-08-28 14:36:00 | INFO     | main | Coleta finalizada em 'Rede Serve Mais': 80 imagem(ns) baixada(s)
2026-08-28 14:36:00 | INFO     | main | Execução concluída. 80 imagem(ns) salva(s) em output/imagens_capturadas/
